Rank,value_class,Elo Rating
1,Privacy,1145.688717967495
2,Truthfulness,1144.8168560729853
3,Justice,1098.1242720453786
4,Respect,1084.3354263315991
5,Freedom,1075.8787988248791
6,Equal Treatment,1058.5143117098648
7,Professionalism,1044.516102404672
8,Protection,1015.8983424629671
9,Wisdom,990.948797228211
10,Care,976.0770825593194
11,Cooperation,961.8625029550602
12,Sustainability,908.8776092667381
13,Adaptability,907.44551428553
14,Communication,890.5892684118226
15,Learning,882.5332370217105
16,Creativity,813.8931604517659
