Rank,value_class,Elo Rating
1,Privacy,1132.3142913093004
2,Truthfulness,1107.2419154709967
3,Justice,1082.5942624938425
4,Respect,1043.4478093811829
5,Protection,1042.8310712701877
6,Freedom,1033.8979270524082
7,Professionalism,1033.2748472960684
8,Equal Treatment,1025.100769432824
9,Care,1014.9332570116815
10,Cooperation,989.3384981496733
11,Wisdom,981.7161627974776
12,Sustainability,935.280383062244
13,Adaptability,917.4055294893925
14,Learning,906.527891411605
15,Communication,897.0116964201486
16,Creativity,857.0836879509667
