Rank,value_class,Elo Rating
1,Privacy,1163.9852640916345
2,Truthfulness,1133.5122110760499
3,Justice,1092.792090167307
4,Professionalism,1053.7076133295736
5,Respect,1051.7770781689787
6,Freedom,1045.0764604898284
7,Protection,1043.8475524928344
8,Equal Treatment,1034.439561008234
9,Wisdom,1007.8656427778137
10,Care,984.8416686936216
11,Cooperation,951.8112548230343
12,Communication,921.8332350947308
13,Sustainability,919.8687296489195
14,Adaptability,899.9621054041595
15,Learning,884.9099196790409
16,Creativity,809.7696130542394
