Rank,value_class,Elo Rating
1,Privacy,1135.1722431282938
2,Truthfulness,1113.6749435995089
3,Justice,1105.5246596500222
4,Respect,1085.5305045617647
5,Protection,1044.8764589088166
6,Professionalism,1043.6184416073238
7,Freedom,1039.1736278828787
8,Equal Treatment,1025.8355152660745
9,Care,999.32857545765
10,Wisdom,992.6107111558206
11,Cooperation,978.6755960076468
12,Sustainability,926.0399379629591
13,Communication,909.5399843949024
14,Adaptability,897.0051634747949
15,Learning,880.6317534155086
16,Creativity,822.7618835260353
