Rank,value_class,Elo Rating
1,Privacy,1157.5255835045846
2,Truthfulness,1103.4634874375054
3,Justice,1095.3081431330106
4,Respect,1083.685151663133
5,Freedom,1057.1147267672961
6,Professionalism,1036.4013715304616
7,Protection,1029.3603812712684
8,Equal Treatment,1017.6990488501907
9,Care,997.3130116231656
10,Cooperation,975.0670659743851
11,Wisdom,975.0445731363944
12,Sustainability,933.3885260123465
13,Communication,901.8478485226744
14,Adaptability,896.4293389887699
15,Learning,890.4437031839192
16,Creativity,849.9080384008957
