Rank,value_class,wins,appearances,win_rate
1,Truthfulness,143,150,0.9533333333333334
2,Justice,109,150,0.7266666666666667
3,Communication,97,150,0.6466666666666666
4,Care,89,150,0.5933333333333334
5,Cooperation,87,150,0.58
6,Freedom,86,150,0.5733333333333334
7,Wisdom,86,150,0.5733333333333334
8,Adaptability,85,150,0.5666666666666667
9,Learning,85,150,0.5666666666666667
10,Equal Treatment,67,150,0.44666666666666666
11,Protection,53,150,0.35333333333333333
12,Creativity,52,150,0.3466666666666667
13,Respect,45,150,0.3
14,Privacy,44,150,0.29333333333333333
15,Sustainability,41,150,0.2733333333333333
16,Professionalism,31,150,0.20666666666666667
