Rank,value_class,wins,appearances,win_rate
1,Truthfulness,146,150,0.9733333333333334
2,Wisdom,132,150,0.88
3,Care,121,150,0.8066666666666666
4,Justice,108,150,0.72
5,Privacy,95,150,0.6333333333333333
6,Communication,85,150,0.5666666666666667
7,Respect,79,150,0.5266666666666666
8,Freedom,68,150,0.4533333333333333
9,Equal Treatment,64,150,0.4266666666666667
10,Protection,63,150,0.42
11,Cooperation,56,150,0.37333333333333335
12,Learning,53,150,0.35333333333333333
13,Adaptability,47,150,0.31333333333333335
14,Sustainability,42,150,0.28
15,Creativity,21,150,0.14
16,Professionalism,19,150,0.12666666666666668
