Rank,value_class,wins,appearances,win_rate
1,Wisdom,134,150,0.8933333333333333
2,Truthfulness,131,150,0.8733333333333333
3,Cooperation,112,150,0.7466666666666667
4,Adaptability,103,150,0.6866666666666666
5,Care,101,150,0.6733333333333333
6,Respect,90,150,0.6
7,Justice,81,150,0.54
8,Sustainability,76,150,0.5066666666666667
9,Learning,74,150,0.49333333333333335
10,Communication,69,150,0.46
11,Equal Treatment,52,150,0.3466666666666667
12,Privacy,48,150,0.32
13,Freedom,45,150,0.3
14,Creativity,33,150,0.22
15,Professionalism,27,150,0.18
16,Protection,23,150,0.15333333333333332
