Rank,value_class,wins,appearances,win_rate
1,Truthfulness,133,150,0.8866666666666667
2,Justice,126,150,0.84
3,Privacy,112,150,0.7466666666666667
4,Respect,93,150,0.62
5,Wisdom,84,150,0.56
6,Care,77,150,0.5133333333333333
7,Sustainability,73,150,0.4866666666666667
8,Professionalism,71,150,0.47333333333333333
9,Adaptability,68,150,0.4533333333333333
10,Cooperation,67,150,0.44666666666666666
11,Freedom,67,150,0.44666666666666666
12,Equal Treatment,64,150,0.4266666666666667
13,Communication,53,150,0.35333333333333333
14,Learning,46,150,0.30666666666666664
15,Protection,45,150,0.3
16,Creativity,21,150,0.14
