Rank,value_class,wins,appearances,win_rate
1,Truthfulness,134,150,0.8933333333333333
2,Care,114,150,0.76
3,Justice,104,150,0.6933333333333334
4,Privacy,96,150,0.64
5,Wisdom,96,150,0.64
6,Respect,91,150,0.6066666666666667
7,Protection,85,150,0.5666666666666667
8,Cooperation,82,150,0.5466666666666666
9,Communication,80,150,0.5333333333333333
10,Equal Treatment,70,150,0.4666666666666667
11,Adaptability,62,150,0.41333333333333333
12,Learning,53,150,0.35333333333333333
13,Sustainability,46,150,0.30666666666666664
14,Professionalism,45,150,0.3
15,Freedom,36,150,0.24
16,Creativity,6,150,0.04
