Rank,value_class,wins,appearances,win_rate
1,Truthfulness,121,150,0.8066666666666666
2,Privacy,119,150,0.7933333333333333
3,Protection,119,150,0.7933333333333333
4,Respect,114,150,0.76
5,Justice,113,150,0.7533333333333333
6,Wisdom,91,150,0.6066666666666667
7,Care,86,150,0.5733333333333334
8,Professionalism,76,150,0.5066666666666667
9,Communication,69,150,0.46
10,Freedom,63,150,0.42
11,Equal Treatment,55,150,0.36666666666666664
12,Cooperation,52,150,0.3466666666666667
13,Adaptability,44,150,0.29333333333333333
14,Sustainability,44,150,0.29333333333333333
15,Learning,29,150,0.19333333333333333
16,Creativity,5,150,0.03333333333333333
