Rank,value_class,wins,appearances,win_rate
1,Truthfulness,133,150,0.8866666666666667
2,Protection,110,150,0.7333333333333333
3,Justice,102,150,0.68
4,Wisdom,100,150,0.6666666666666666
5,Respect,94,150,0.6266666666666667
6,Communication,92,150,0.6133333333333333
7,Privacy,90,150,0.6
8,Care,88,150,0.5866666666666667
9,Professionalism,80,150,0.5333333333333333
10,Sustainability,55,150,0.36666666666666664
11,Freedom,52,150,0.3466666666666667
12,Cooperation,50,150,0.3333333333333333
13,Learning,43,150,0.2866666666666667
14,Equal Treatment,41,150,0.2733333333333333
15,Creativity,38,150,0.25333333333333335
16,Adaptability,32,150,0.21333333333333335
